selected_index,feature_name,coefficient,abs_coefficient
2439,BERT_276,0.07446628,0.07446628
1479,ProtT5_340,-0.07442433,0.07442433
1259,ProtT5_120,0.07436226,0.07436226
192,BPF_192,0.07416184,0.07416184
638,FEGS_197,-0.0736567,0.0736567
8,BPF_8,0.07136646,0.07136646
121,BPF_121,0.070770144,0.070770144
761,FEGS_320,0.06995981,0.06995981
3222,ESM2_291,-0.06948335,0.06948335
846,FEGS_405,0.067901164,0.067901164
151,BPF_151,-0.067510575,0.067510575
1903,ProtT5_764,-0.06739161,0.06739161
149,BPF_149,0.06358105,0.06358105
858,FEGS_417,0.063461825,0.063461825
805,FEGS_364,-0.06303861,0.06303861
3142,ESM2_211,0.062581114,0.062581114
2666,BERT_503,0.06254982,0.06254982
1977,ProtT5_838,-0.061759446,0.061759446
1017,FEGS_576,0.060680006,0.060680006
901,FEGS_460,0.060395714,0.060395714
893,FEGS_452,-0.06017993,0.06017993
2863,BERT_700,-0.060095627,0.060095627
1819,ProtT5_680,0.058725428,0.058725428
1809,ProtT5_670,-0.05854229,0.05854229
898,FEGS_457,0.058244415,0.058244415
974,FEGS_533,-0.057704885,0.057704885
2190,BERT_27,-0.057035085,0.057035085
998,FEGS_557,-0.056997582,0.056997582
3101,ESM2_170,0.056863382,0.056863382
2796,BERT_633,0.056308188,0.056308188
964,FEGS_523,0.055574074,0.055574074
186,BPF_186,0.05535683,0.05535683
177,BPF_177,0.05459917,0.05459917
888,FEGS_447,-0.05457908,0.05457908
2183,BERT_20,0.054496203,0.054496203
269,BPF_269,-0.054028273,0.054028273
233,BPF_233,0.0539899,0.0539899
66,BPF_66,-0.05396178,0.05396178
1217,ProtT5_78,-0.05367267,0.05367267
29,BPF_29,0.053668253,0.053668253
982,FEGS_541,-0.053467758,0.053467758
1812,ProtT5_673,0.053106144,0.053106144
143,BPF_143,-0.05255703,0.05255703
1213,ProtT5_74,-0.052316457,0.052316457
1914,ProtT5_775,0.051969983,0.051969983
1597,ProtT5_458,-0.05155865,0.05155865
991,FEGS_550,-0.050884526,0.050884526
862,FEGS_421,0.050723262,0.050723262
2359,BERT_196,-0.049422596,0.049422596
252,BPF_252,0.04896354,0.04896354
283,BPF_283,0.04896354,0.04896354
682,FEGS_241,0.048962697,0.048962697
1283,ProtT5_144,0.048849136,0.048849136
3071,ESM2_140,0.04847728,0.04847728
958,FEGS_517,0.04764678,0.04764678
700,FEGS_259,0.04601422,0.04601422
3034,ESM2_103,0.045054518,0.045054518
2914,BERT_751,0.044895332,0.044895332
2689,BERT_526,-0.044559065,0.044559065
202,BPF_202,-0.043031763,0.043031763
93,BPF_93,0.041464448,0.041464448
712,FEGS_271,0.04145051,0.04145051
749,FEGS_308,0.040755436,0.040755436
738,FEGS_297,0.040277924,0.040277924
2131,ProtT5_992,0.03969624,0.03969624
2160,ProtT5_1021,0.03930409,0.03930409
244,BPF_244,0.03925741,0.03925741
968,FEGS_527,-0.039123032,0.039123032
1380,ProtT5_241,-0.038877815,0.038877815
125,BPF_125,-0.03887472,0.03887472
2969,ESM2_38,-0.03780456,0.03780456
2844,BERT_681,-0.037111063,0.037111063
3018,ESM2_87,-0.036597993,0.036597993
879,FEGS_438,0.036545828,0.036545828
838,FEGS_397,0.036282636,0.036282636
3241,ESM2_310,-0.036055665,0.036055665
160,BPF_160,0.03519811,0.03519811
1018,FEGS_577,-0.0342649,0.0342649
2065,ProtT5_926,0.034113646,0.034113646
1027,Fasttext_8,-0.03370473,0.03370473
653,FEGS_212,0.03358718,0.03358718
