selected_index,feature_name,coefficient,abs_coefficient
857,FEGS_416,0.0771536183794247,0.0771536183794247
88,BPF_88,-0.07677622330407242,0.07677622330407242
139,BPF_139,0.07653137148056183,0.07653137148056183
735,FEGS_294,-0.0753373769070137,0.0753373769070137
233,BPF_233,0.0751480209231495,0.0751480209231495
867,FEGS_426,0.07460167559510197,0.07460167559510197
207,BPF_207,0.07450802465544859,0.07450802465544859
686,FEGS_245,0.0741195130919,0.0741195130919
619,FEGS_178,0.07352412757928416,0.07352412757928416
144,BPF_144,0.07131887052689195,0.07131887052689195
192,BPF_192,0.07120096513328693,0.07120096513328693
244,BPF_244,0.06972478491330679,0.06972478491330679
998,FEGS_557,-0.06961941046244219,0.06961941046244219
829,FEGS_388,-0.06933177116318573,0.06933177116318573
128,BPF_128,0.06909989476692349,0.06909989476692349
794,FEGS_353,-0.06880353945003202,0.06880353945003202
15,BPF_15,-0.06822071461111673,0.06822071461111673
987,FEGS_546,0.0677492035472186,0.0677492035472186
124,BPF_124,0.06755565485587935,0.06755565485587935
93,BPF_93,0.06753519967614476,0.06753519967614476
973,FEGS_532,0.06736817204448033,0.06736817204448033
969,FEGS_528,0.06736160596515277,0.06736160596515277
758,FEGS_317,-0.06726543565574769,0.06726543565574769
76,BPF_76,-0.06573029837676604,0.06573029837676604
988,FEGS_547,0.0657258633865073,0.0657258633865073
135,BPF_135,0.06556554639851572,0.06556554639851572
179,BPF_179,0.06555743808967551,0.06555743808967551
868,FEGS_427,0.0650164797830973,0.0650164797830973
1012,FEGS_571,-0.06492014843762277,0.06492014843762277
820,FEGS_379,0.06418398419091129,0.06418398419091129
759,FEGS_318,0.06410221437498066,0.06410221437498066
624,FEGS_183,-0.06285988052958373,0.06285988052958373
87,BPF_87,-0.06265719449837386,0.06265719449837386
106,BPF_106,0.06185347948081174,0.06185347948081174
612,FEGS_171,0.06179541834862154,0.06179541834862154
690,FEGS_249,-0.06148050649665005,0.06148050649665005
718,FEGS_277,0.06013268725571101,0.06013268725571101
121,BPF_121,0.059808960559763084,0.059808960559763084
821,FEGS_380,-0.05930952354332853,0.05930952354332853
872,FEGS_431,0.05856575622687811,0.05856575622687811
1002,FEGS_561,0.05833487733150243,0.05833487733150243
12,BPF_12,-0.05821272203608797,0.05821272203608797
109,BPF_109,-0.05773223374967017,0.05773223374967017
695,FEGS_254,-0.057335709649807665,0.057335709649807665
836,FEGS_395,0.056396767076296296,0.056396767076296296
956,FEGS_515,-0.055947651506507906,0.055947651506507906
967,FEGS_526,0.0558554528449691,0.0558554528449691
698,FEGS_257,-0.05549720404311238,0.05549720404311238
879,FEGS_438,0.05548235170281464,0.05548235170281464
964,FEGS_523,0.05527253221584147,0.05527253221584147
13,BPF_13,-0.054811880745339894,0.054811880745339894
910,FEGS_469,-0.05449992455001937,0.05449992455001937
682,FEGS_241,0.052296669636617894,0.052296669636617894
252,BPF_252,0.05229666963661785,0.05229666963661785
283,BPF_283,0.05229666963661785,0.05229666963661785
149,BPF_149,0.05209186048814298,0.05209186048814298
27,BPF_27,0.05155828080523045,0.05155828080523045
123,BPF_123,0.050641725623695275,0.050641725623695275
32,BPF_32,-0.04901382615888414,0.04901382615888414
8,BPF_8,0.04854040355566732,0.04854040355566732
863,FEGS_422,-0.048184246513660205,0.048184246513660205
398,BPF_398,-0.047005495113895256,0.047005495113895256
419,BPF_419,-0.047005495113895256,0.047005495113895256
440,BPF_440,-0.047005495113895256,0.047005495113895256
907,FEGS_466,0.04676813288161584,0.04676813288161584
172,BPF_172,-0.04589050529965188,0.04589050529965188
738,FEGS_297,0.045335000439065666,0.045335000439065666
663,FEGS_222,0.04513372174899648,0.04513372174899648
968,FEGS_527,-0.04503812598493774,0.04503812598493774
719,FEGS_278,-0.0443525532925934,0.0443525532925934
202,BPF_202,-0.044244314921623826,0.044244314921623826
975,FEGS_534,-0.04310001203131694,0.04310001203131694
999,FEGS_558,0.04236283757673391,0.04236283757673391
696,FEGS_255,0.04214889557578807,0.04214889557578807
1,BPF_1,0.04209672934313854,0.04209672934313854
989,FEGS_548,0.041791421604508563,0.041791421604508563
66,BPF_66,-0.04132859130615803,0.04132859130615803
799,FEGS_358,-0.04052886094610277,0.04052886094610277
979,FEGS_538,-0.04025944465281618,0.04025944465281618
129,BPF_129,-0.04007004461484968,0.04007004461484968
764,FEGS_323,-0.039839924654542884,0.039839924654542884
228,BPF_228,0.03978949730415813,0.03978949730415813
862,FEGS_421,0.03951475033797254,0.03951475033797254
187,BPF_187,0.03893649462379244,0.03893649462379244
151,BPF_151,-0.03827588280757082,0.03827588280757082
736,FEGS_295,0.03806157814378303,0.03806157814378303
43,BPF_43,0.03788803127508705,0.03788803127508705
901,FEGS_460,0.03749579447782028,0.03749579447782028
953,FEGS_512,-0.03682174930441569,0.03682174930441569
68,BPF_68,0.036470096051278746,0.036470096051278746
761,FEGS_320,0.03541162884504003,0.03541162884504003
833,FEGS_392,0.03404802107042246,0.03404802107042246
232,BPF_232,-0.033384479007907315,0.033384479007907315
138,BPF_138,-0.033230310843888444,0.033230310843888444
648,FEGS_207,0.032738847071965706,0.032738847071965706
269,BPF_269,-0.0318672264259671,0.0318672264259671
107,BPF_107,0.03178584126307049,0.03178584126307049
776,FEGS_335,-0.03176810130500724,0.03176810130500724
160,BPF_160,0.030173848446193627,0.030173848446193627
94,BPF_94,0.028809601239465937,0.028809601239465937
899,FEGS_458,0.028735547874164772,0.028735547874164772
913,FEGS_472,-0.028724566888387894,0.028724566888387894
1013,FEGS_572,-0.028335861807130658,0.028335861807130658
636,FEGS_195,0.028016800060344193,0.028016800060344193
835,FEGS_394,0.027486393865184887,0.027486393865184887
223,BPF_223,-0.026862633893582597,0.026862633893582597
289,BPF_289,-0.026862633893582597,0.026862633893582597
1000,FEGS_559,0.02647307887706609,0.02647307887706609
656,FEGS_215,0.02640040964009315,0.02640040964009315
838,FEGS_397,0.02597066922187814,0.02597066922187814
994,FEGS_553,-0.025568460417587813,0.025568460417587813
724,FEGS_283,-0.025555485265630628,0.025555485265630628
113,BPF_113,-0.025075505668758637,0.025075505668758637
214,BPF_214,-0.024563989442959056,0.024563989442959056
83,BPF_83,0.024027371088342353,0.024027371088342353
147,BPF_147,0.0236415922951424,0.0236415922951424
986,FEGS_545,-0.023385315447949976,0.023385315447949976
249,BPF_249,0.022895673611581565,0.022895673611581565
334,BPF_334,0.022625977333977264,0.022625977333977264
292,BPF_292,0.022625977333977264,0.022625977333977264
296,BPF_296,0.022625977333977264,0.022625977333977264
363,BPF_363,0.022625977333977264,0.022625977333977264
709,FEGS_268,0.022625977333977112,0.022625977333977112
959,FEGS_518,-0.022243809906571172,0.022243809906571172
815,FEGS_374,-0.021033039301726907,0.021033039301726907
790,FEGS_349,-0.019983731832844413,0.019983731832844413
167,BPF_167,-0.019896086194380366,0.019896086194380366
45,BPF_45,-0.019476468081286006,0.019476468081286006
3,BPF_3,-0.019177082350744005,0.019177082350744005
917,FEGS_476,-0.018869108693820368,0.018869108693820368
639,FEGS_198,0.01744791354619236,0.01744791354619236
858,FEGS_417,0.017257067254620808,0.017257067254620808
661,FEGS_220,-0.017052909068606535,0.017052909068606535
632,FEGS_191,-0.01664938874626506,0.01664938874626506
48,BPF_48,0.016334856247325634,0.016334856247325634
749,FEGS_308,0.016113739511623645,0.016113739511623645
